Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 22-Sep-2020 at 12:54:06.
Created 22-Sep-2020 12:54:06.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.8500	 0.000814	 0.109333	-0.012908	 0.124438	 0.008094
 0.8750	 	 	 	 	-0.065132
 0.9000	 0.004836	 0.028880	-0.002422	 0.292131	-0.111274
 0.9250	 	 	 	 	-0.127112
 0.9500	 0.001056	-0.170917	 0.015125	 0.406338	-0.104153
 0.9750	 	 	 	 	 0.008201
 1.0000	-0.013457	-0.344712	 0.037236	 0.469359	 0.065689


 -------- Mode No.  12  (freq = 0.21514E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001452
 0.0500	 0.000078	 0.002856	 0.000407	 0.015756	-0.002880
 0.0750	 	 	 	 	-0.005479
 0.1000	 0.000346	 0.007360	 0.001425	 0.024679	-0.007917
 0.1250	 	 	 	 	-0.012478
 0.1500	 0.000833	 0.011475	 0.002398	 0.013480	-0.016320
 0.1750	 	 	 	 	-0.020113
 0.2000	 0.001376	 0.009942	 0.002502	-0.010106	-0.022014
 0.2250	 	 	 	 	-0.021944
 0.2500	 0.001587	-0.001319	 0.001477	-0.031954	-0.014056
 0.2750	 	 	 	 	 0.014318
 0.3000	 0.001202	-0.012586	-0.000283	-0.039501	 0.050686
 0.3250	 	 	 	 	 0.093444
 0.3500	 0.000502	-0.013400	-0.001945	-0.028233	 0.131532
 0.3750	 	 	 	 	 0.162218
 0.4000	 0.000119	-0.000553	-0.002656	-0.001825	 0.177083
 0.4250	 	 	 	 	 0.175294
 0.4500	 0.000595	 0.018997	-0.001884	 0.030409	 0.158275
 0.4750	 	 	 	 	 0.127929
 0.5000	 0.001817	 0.026765	 0.000339	 0.055348	 0.094488
 0.5250	 	 	 	 	 0.059826
 0.5500	 0.002649	 0.003189	 0.003276	 0.058893	 0.037050
 0.5750	 	 	 	 	 0.027148
 0.6000	 0.001592	-0.043452	 0.005696	 0.035101	 0.034763
 0.6250	 	 	 	 	 0.059477
 0.6500	-0.001221	-0.059302	 0.006299	-0.012599	 0.084618
 0.6750	 	 	 	 	 0.102107
 0.7000	-0.002680	 0.008057	 0.004356	-0.065321	 0.093351
 0.7250	 	 	 	 	 0.046879
 0.7500	-0.000075	 0.082616	 0.000177	-0.100975	-0.019667
 0.7750	 	 	 	 	-0.109291
 0.8000	 0.003229	 0.030519	-0.004871	-0.098323	-0.167671
 0.8250	 	 	 	 	-0.188979
 0.8500	 0.001197	-0.102317	-0.008189	-0.030293	-0.154429
 0.8750	 	 	 	 	-0.075855
 0.9000	-0.004439	-0.088276	-0.006934	 0.079781	-0.008396
 0.9250	 	 	 	 	 0.030989
 0.9500	-0.003412	 0.129519	-0.000216	 0.182494	 0.008057
 0.9750	 	 	 	 	-0.155559
 1.0000	 0.011103	 0.362213	 0.011136	 0.254981	-0.244965


 -------- Mode No.  13  (freq = 0.21645E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.002126
 0.0500	 0.000213	 0.008014	 0.000044	 0.001637	-0.004217
 0.0750	 	 	 	 	-0.008025
 0.1000	 0.000828	 0.015874	 0.000171	 0.003295	-0.011607
 0.1250	 	 	 	 	-0.018354
 0.1500	 0.001677	 0.017055	 0.000347	 0.003522	-0.024128
 0.1750	 	 	 	 	-0.030067
 0.2000	 0.002309	 0.007565	 0.000475	 0.001442	-0.033498
 0.2250	 	 	 	 	-0.037542
 0.2500	 0.002179	-0.012620	 0.000439	-0.002780	-0.031170
 0.2750	 	 	 	 	-0.001343
 0.3000	 0.001116	-0.028378	 0.000214	-0.005919	 0.039385
 0.3250	 	 	 	 	 0.088170
 0.3500	-0.000300	-0.026024	-0.000083	-0.005567	 0.131169
 0.3750	 	 	 	 	 0.163920
 0.4000	-0.001045	-0.002476	-0.000263	-0.001480	 0.176083
 0.4250	 	 	 	 	 0.165819
 0.4500	-0.000300	 0.030863	-0.000190	 0.004151	 0.135965
 0.4750	 	 	 	 	 0.088476
 0.5000	 0.001745	 0.045939	 0.000110	 0.007180	 0.038233
 0.5250	 	 	 	 	-0.012311
 0.5500	 0.003352	 0.013020	 0.000408	 0.004163	-0.044020
 0.5750	 	 	 	 	-0.054636
 0.6000	 0.002184	-0.057417	 0.000425	-0.003145	-0.037896
 0.6250	 	 	 	 	 0.007890
 0.6500	-0.001795	-0.087831	 0.000127	-0.007666	 0.055860
 0.6750	 	 	 	 	 0.097391
 0.7000	-0.004203	 0.002726	-0.000181	-0.004079	 0.099904
 0.7250	 	 	 	 	 0.049084
 0.7500	-0.000832	 0.113873	-0.000225	 0.001404	-0.035971
 0.7750	 	 	 	 	-0.157944
 0.8000	 0.003928	 0.048530	-0.000140	 0.001145	-0.241158
 0.8250	 	 	 	 	-0.276297
 0.8500	 0.001352	-0.139538	-0.000142	-0.000583	-0.232826
 0.8750	 	 	 	 	-0.126706
 0.9000	-0.006519	-0.125208	-0.000111	 0.002592	-0.034580
 0.9250	 	 	 	 	 0.017460
 0.9500	-0.005096	 0.183600	 0.000152	 0.007336	-0.018565
 0.9750	 	 	 	 	-0.260136
 1.0000	 0.015624	 0.517698	 0.000598	 0.009733	-0.391295


 -------- Mode No.  14  (freq = 0.26835E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001593
 0.0500	 0.000088	 0.003267	 0.000320	 0.011958	-0.003146
 0.0750	 	 	 	 	-0.005922
 0.1000	 0.000345	 0.006554	 0.001145	 0.020143	-0.008444
 0.1250	 	 	 	 	-0.012919
 0.1500	 0.000669	 0.005813	 0.002148	 0.018694	-0.016355
 0.1750	 	 	 	 	-0.019054
 0.2000	 0.000820	 0.000049	 0.002777	 0.005821	-0.019301
 0.2250	 	 	 	 	-0.010148
 0.2500	 0.000602	-0.007817	 0.002532	-0.015566	 0.006713
 0.2750	 	 	 	 	 0.048770
 0.3000	 0.000208	-0.006112	 0.001296	-0.033060	 0.090844
 0.3250	 	 	 	 	 0.128115
 0.3500	 0.000228	 0.008129	-0.000472	-0.036581	 0.149005
 0.3750	 	 	 	 	 0.151248
 0.4000	 0.001078	 0.024902	-0.001999	-0.023772	 0.135496
 0.4250	 	 	 	 	 0.106618
 0.4500	 0.002420	 0.025649	-0.002587	 0.000256	 0.077492
 0.4750	 	 	 	 	 0.055599
 0.5000	 0.003056	-0.002498	-0.001910	 0.026193	 0.052130
 0.5250	 	 	 	 	 0.071439
 0.5500	 0.001888	-0.040523	-0.000170	 0.042519	 0.107792
 0.5750	 	 	 	 	 0.161785
 0.6000	-0.000248	-0.035973	 0.001990	 0.042696	 0.204907
 0.6250	 	 	 	 	 0.230701
 0.6500	-0.000416	 0.030253	 0.003593	 0.019627	 0.219202
 0.6750	 	 	 	 	 0.165378
 0.7000	 0.002445	 0.065305	 0.003482	-0.025096	 0.100877
 0.7250	 	 	 	 	 0.038466
 0.7500	 0.003570	-0.030701	 0.001026	-0.070504	 0.021523
 0.7750	 	 	 	 	 0.057052
 0.8000	-0.000320	-0.100138	-0.002829	-0.077263	 0.113107
 0.8250	 	 	 	 	 0.163814
 0.8500	-0.002875	 0.014880	-0.005269	-0.014881	 0.140305
 0.8750	 	 	 	 	 0.022542
 0.9000	 0.001152	 0.106947	-0.003545	 0.082400	-0.124756
 0.9250	 	 	 	 	-0.288895
 0.9500	 0.002367	-0.081219	 0.002755	 0.163173	-0.345441
 0.9750	 	 	 	 	-0.266678
 1.0000	-0.011428	-0.363274	 0.012514	 0.213116	-0.189512


 -------- Mode No.  15  (freq = 0.27059E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001069
 0.0500	 0.000156	 0.005833	-0.000114	-0.004274	-0.002110
 0.0750	 	 	 	 	-0.003965
 0.1000	 0.000583	 0.010671	-0.000399	-0.006870	-0.005636
 0.1250	 	 	 	 	-0.008540
 0.1500	 0.001120	 0.010028	-0.000741	-0.006386	-0.010659
 0.1750	 	 	 	 	-0.012028
 0.2000	 0.001444	 0.002693	-0.000965	-0.002355	-0.011493
 0.2250	 	 	 	 	-0.000903
 0.2500	 0.001280	-0.008567	-0.000909	 0.004814	 0.016061
 0.2750	 	 	 	 	 0.056958
 0.3000	 0.000732	-0.011619	-0.000475	 0.012653	 0.097717
 0.3250	 	 	 	 	 0.134350
 0.3500	 0.000381	-0.001079	 0.000279	 0.017257	 0.155945
 0.3750	 	 	 	 	 0.160386
 0.4000	 0.000759	 0.015676	 0.001103	 0.015126	 0.147481
 0.4250	 	 	 	 	 0.121264
 0.4500	 0.001768	 0.022038	 0.001614	 0.004692	 0.093053
 0.4750	 	 	 	 	 0.069271
 0.5000	 0.002483	 0.004356	 0.001436	-0.011907	 0.060877
 0.5250	 	 	 	 	 0.071617
 0.5500	 0.001890	-0.025609	 0.000468	-0.025869	 0.098709
 0.5750	 	 	 	 	 0.143010
 0.6000	 0.000425	-0.025748	-0.000890	-0.026812	 0.181635
 0.6250	 	 	 	 	 0.210314
 0.6500	 0.000321	 0.022899	-0.001821	-0.009493	 0.209680
 0.6750	 	 	 	 	 0.176649
 0.7000	 0.002499	 0.049507	-0.001621	 0.016456	 0.132288
 0.7250	 	 	 	 	 0.087509
 0.7500	 0.003263	-0.027552	-0.000311	 0.034092	 0.074933
 0.7750	 	 	 	 	 0.099835
 0.8000	-0.000036	-0.084886	 0.001443	 0.034122	 0.137239
 0.8250	 	 	 	 	 0.162092
 0.8500	-0.002353	 0.006059	 0.002531	 0.007031	 0.124556
 0.8750	 	 	 	 	 0.005378
 0.9000	 0.000616	 0.081430	 0.001747	-0.038738	-0.136519
 0.9250	 	 	 	 	-0.298038
 0.9500	 0.001450	-0.066958	-0.001317	-0.080527	-0.364746
 0.9750	 	 	 	 	-0.340132
 1.0000	-0.009640	-0.291479	-0.006182	-0.106493	-0.291875


 -------- Mode No.  16  (freq = 0.30255E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000518
 0.0500	 0.000005	 0.000179	-0.000002	-0.000065	-0.001020
 0.0750	 	 	 	 	-0.001917
 0.1000	 0.000014	 0.000109	-0.000007	-0.000140	-0.002745
 0.1250	 	 	 	 	-0.004297
 0.1500	 0.000004	-0.000613	-0.000016	-0.000257	-0.005664
 0.1750	 	 	 	 	-0.007239
 0.2000	-0.000057	-0.001871	-0.000032	-0.000389	-0.008526
 0.2250	 	 	 	 	-0.013307
 0.2500	-0.000194	-0.003698	-0.000056	-0.000533	-0.017321
 0.2750	 	 	 	 	-0.023989
 0.3000	-0.000412	-0.005003	-0.000083	-0.000549	-0.029855
 0.3250	 	 	 	 	-0.035918
 0.3500	-0.000662	-0.005003	-0.000106	-0.000399	-0.042097
 0.3750	 	 	 	 	-0.049634
 0.4000	-0.000877	-0.003719	-0.000119	-0.000139	-0.058068
 0.4250	 	 	 	 	-0.068386
 0.4500	-0.001019	-0.002289	-0.000121	 0.000053	-0.079334
 0.4750	 	 	 	 	-0.091840
 0.5000	-0.001128	-0.002623	-0.000119	-0.000021	-0.103944
 0.5250	 	 	 	 	-0.116923
 0.5500	-0.001322	-0.005385	-0.000127	-0.000322	-0.128147
 0.5750	 	 	 	 	-0.140232
 0.6000	-0.001651	-0.007401	-0.000147	-0.000416	-0.150582
 0.6250	 	 	 	 	-0.163242
 0.6500	-0.001947	-0.003901	-0.000157	 0.000110	-0.175319
 0.6750	 	 	 	 	-0.190304
 0.7000	-0.001939	 0.003492	-0.000129	 0.000935	-0.202204
 0.7250	 	 	 	 	-0.210347
 0.7500	-0.001683	 0.005878	-0.000073	 0.001256	-0.207827
 0.7750	 	 	 	 	-0.188579
 0.8000	-0.001348	 0.009175	-0.000014	 0.001090	-0.156348
 0.8250	 	 	 	 	-0.096462
 0.8500	-0.000538	 0.024769	 0.000028	 0.000579	-0.034431
 0.8750	 	 	 	 	 0.038437
 0.9000	 0.000994	 0.033062	 0.000033	-0.000389	 0.105596
 0.9250	 	 	 	 	 0.195712
 0.9500	 0.002109	 0.010172	-0.000016	-0.001464	 0.272140
 0.9750	 	 	 	 	 0.446223
 1.0000	 0.001338	-0.026378	-0.000111	-0.002133	 0.516653


 -------- Mode No.  17  (freq = 0.33011E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.003152
 0.0500	 0.000210	 0.007711	 0.000051	 0.001868	-0.006185
 0.0750	 	 	 	 	-0.011486
 0.1000	 0.000752	 0.012886	 0.000182	 0.003105	-0.016128
 0.1250	 	 	 	 	-0.023927
 0.1500	 0.001304	 0.007914	 0.000314	 0.001870	-0.029399
 0.1750	 	 	 	 	-0.032740
 0.2000	 0.001358	-0.005866	 0.000324	-0.001498	-0.031412
 0.2250	 	 	 	 	-0.007919
 0.2500	 0.000676	-0.019202	 0.000156	-0.004719	 0.025405
 0.2750	 	 	 	 	 0.093613
 0.3000	-0.000160	-0.011088	-0.000061	-0.003337	 0.144514
 0.3250	 	 	 	 	 0.165527
 0.3500	-0.000096	 0.013631	-0.000106	 0.001544	 0.146789
 0.3750	 	 	 	 	 0.090927
 0.4000	 0.000996	 0.025651	 0.000066	 0.004584	 0.021231
 0.4250	 	 	 	 	-0.045155
 0.4500	 0.001755	 0.000387	 0.000242	 0.001822	-0.080608
 0.4750	 	 	 	 	-0.077453
 0.5000	 0.000594	-0.043252	 0.000176	-0.003997	-0.039964
 0.5250	 	 	 	 	 0.022004
 0.5500	-0.001717	-0.038213	-0.000072	-0.004768	 0.071379
 0.5750	 	 	 	 	 0.089940
 0.6000	-0.001770	 0.036050	-0.000160	 0.001177	 0.056011
 0.6250	 	 	 	 	-0.037789
 0.6500	 0.001155	 0.059147	-0.000003	 0.003495	-0.131508
 0.6750	 	 	 	 	-0.199950
 0.7000	 0.001225	-0.060920	 0.000015	-0.002772	-0.188506
 0.7250	 	 	 	 	-0.095146
 0.7500	-0.003251	-0.078065	-0.000175	-0.002873	 0.001634
 0.7750	 	 	 	 	 0.050750
 0.8000	-0.002661	 0.098643	-0.000115	 0.004793	-0.006505
 0.8250	 	 	 	 	-0.171801
 0.8500	 0.002958	 0.068811	 0.000150	 0.003953	-0.276397
 0.8750	 	 	 	 	-0.231012
 0.9000	-0.000006	-0.153102	 0.000155	-0.002930	-0.046458
 0.9250	 	 	 	 	 0.246289
 0.9500	-0.004483	 0.040297	-0.000058	-0.005043	 0.377270
 0.9750	 	 	 	 	 0.273225
 1.0000	 0.013393	 0.502765	-0.000332	-0.005874	 0.133130


 -------- Mode No.  18  (freq = 0.39207E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.004220
 0.0500	-0.000017	-0.000709	 0.000741	 0.026945	-0.008220
 0.0750	 	 	 	 	-0.015044
 0.1000	-0.000057	-0.001228	 0.002451	 0.038614	-0.020813
 0.1250	 	 	 	 	-0.030111
 0.1500	-0.000187	-0.004219	 0.003995	 0.019578	-0.036346
 0.1750	 	 	 	 	-0.039955
 0.2000	-0.000496	-0.007673	 0.004013	-0.019742	-0.038685
 0.2250	 	 	 	 	-0.018082
 0.2500	-0.000832	-0.003733	 0.001937	-0.060866	 0.005922
 0.2750	 	 	 	 	 0.041033
 0.3000	-0.000635	 0.012263	-0.001407	-0.068662	 0.049065
 0.3250	 	 	 	 	 0.024088
 0.3500	 0.000261	 0.020599	-0.004041	-0.033618	-0.022671
 0.3750	 	 	 	 	-0.075998
 0.4000	 0.000907	 0.001669	-0.004269	 0.024469	-0.106808
 0.4250	 	 	 	 	-0.103053
 0.4500	 0.000127	-0.030697	-0.001773	 0.072310	-0.066679
 0.4750	 	 	 	 	-0.009448
 0.5000	-0.001553	-0.028719	 0.002160	 0.079847	 0.035734
 0.5250	 	 	 	 	 0.050877
 0.5500	-0.001738	 0.021528	 0.005104	 0.033281	 0.022310
 0.5750	 	 	 	 	-0.051033
 0.6000	 0.000099	 0.038005	 0.004602	-0.053475	-0.120452
 0.6250	 	 	 	 	-0.162313
 0.6500	 0.000367	-0.028216	-0.000055	-0.123356	-0.137540
 0.6750	 	 	 	 	-0.046338
 0.7000	-0.001655	-0.025766	-0.005814	-0.093081	 0.036299
 0.7250	 	 	 	 	 0.069429
 0.7500	-0.000091	 0.076170	-0.007240	 0.039133	 0.026568
 0.7750	 	 	 	 	-0.059158
 0.8000	 0.002493	-0.002849	-0.001683	 0.168317	-0.075337
 0.8250	 	 	 	 	 0.036304
 0.8500	-0.000797	-0.084852	 0.006938	 0.149139	 0.181376
 0.8750	 	 	 	 	 0.253907
 0.9000	-0.000796	 0.088614	 0.009398	-0.062903	 0.163042
 0.9250	 	 	 	 	-0.085949
 0.9500	 0.003428	 0.011308	-0.000748	-0.322901	-0.232815
 0.9750	 	 	 	 	-0.209276
 1.0000	-0.008551	-0.358186	-0.023234	-0.511327	-0.100031


 -------- Mode No.  19  (freq = 0.39381E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.004843
 0.0500	-0.000278	-0.010043	 0.000100	 0.003639	 0.009428
 0.0750	 	 	 	 	 0.017211
 0.1000	-0.000939	-0.014827	 0.000324	 0.005113	 0.023689
 0.1250	 	 	 	 	 0.033710
 0.1500	-0.001468	-0.004680	 0.000548	 0.003436	 0.039695
 0.1750	 	 	 	 	 0.041237
 0.2000	-0.001225	 0.014012	 0.000625	-0.000668	 0.035997
 0.2250	 	 	 	 	-0.009188
 0.2500	-0.000185	 0.023716	 0.000428	-0.007609	-0.059428
 0.2750	 	 	 	 	-0.137409
 0.3000	 0.000555	 0.002828	-0.000125	-0.014196	-0.166808
 0.3250	 	 	 	 	-0.134634
 0.3500	-0.000028	-0.022602	-0.000822	-0.012250	-0.055081
 0.3750	 	 	 	 	 0.047530
 0.4000	-0.001023	-0.010838	-0.001106	 0.002046	 0.120232
 0.4250	 	 	 	 	 0.138823
 0.4500	-0.000473	 0.031225	-0.000538	 0.019721	 0.096963
 0.4750	 	 	 	 	 0.010754
 0.5000	 0.001423	 0.033114	 0.000597	 0.022893	-0.068558
 0.5250	 	 	 	 	-0.111137
 0.5500	 0.001375	-0.036234	 0.001315	 0.004741	-0.086885
 0.5750	 	 	 	 	 0.006558
 0.6000	-0.001451	-0.055050	 0.000950	-0.017119	 0.102149
 0.6250	 	 	 	 	 0.160358
 0.6500	-0.001416	 0.058542	-0.000115	-0.023476	 0.121196
 0.6750	 	 	 	 	-0.015494
 0.7000	 0.002656	 0.059537	-0.001114	-0.016494	-0.131292
 0.7250	 	 	 	 	-0.152646
 0.7500	 0.000800	-0.115700	-0.001515	 0.002470	-0.044226
 0.7750	 	 	 	 	 0.150505
 0.8000	-0.003382	-0.000372	-0.000535	 0.035603	 0.221955
 0.8250	 	 	 	 	 0.078931
 0.8500	 0.001716	 0.135041	 0.001501	 0.037358	-0.153646
 0.8750	 	 	 	 	-0.304614
 0.9000	 0.001628	-0.147043	 0.002135	-0.014538	-0.208779
 0.9250	 	 	 	 	 0.117460
 0.9500	-0.005741	-0.035812	-0.000169	-0.072369	 0.295155
 0.9750	 	 	 	 	 0.138337
 1.0000	 0.012305	 0.547952	-0.005142	-0.112793	-0.080064


 -------- Mode No.  20  (freq = 0.45584E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.005805
 0.0500	-0.000043	-0.001399	-0.000003	-0.000063	 0.011210
 0.0750	 	 	 	 	 0.020184
 0.1000	-0.000094	-0.000122	 0.000001	 0.000305	 0.027511
 0.1250	 	 	 	 	 0.039003
 0.1500	 0.000050	 0.006366	 0.000045	 0.001525	 0.046781
 0.1750	 	 	 	 	 0.052225
 0.2000	 0.000546	 0.013126	 0.000151	 0.002590	 0.053332
 0.2250	 	 	 	 	 0.047890
 0.2500	 0.001231	 0.012966	 0.000272	 0.001960	 0.043237
 0.2750	 	 	 	 	 0.048733
 0.3000	 0.001647	 0.003892	 0.000311	-0.000330	 0.074173
 0.3250	 	 	 	 	 0.117632
 0.3500	 0.001695	 0.000189	 0.000261	-0.001233	 0.159970
 0.3750	 	 	 	 	 0.188712
 0.4000	 0.001856	 0.006956	 0.000231	 0.000132	 0.190804
 0.4250	 	 	 	 	 0.170376
 0.4500	 0.002277	 0.007364	 0.000265	 0.000860	 0.144660
 0.4750	 	 	 	 	 0.128280
 0.5000	 0.002237	-0.009558	 0.000268	-0.000876	 0.134016
 0.5250	 	 	 	 	 0.160689
 0.5500	 0.001491	-0.015044	 0.000188	-0.001832	 0.188577
 0.5750	 	 	 	 	 0.202279
 0.6000	 0.001360	 0.009711	 0.000140	-0.000166	 0.184562
 0.6250	 	 	 	 	 0.133197
 0.6500	 0.001927	 0.002513	 0.000132	-0.000875	 0.087519
 0.6750	 	 	 	 	 0.063285
 0.7000	 0.000689	-0.045012	 0.000010	-0.003402	 0.069265
 0.7250	 	 	 	 	 0.073380
 0.7500	-0.000914	-0.008011	-0.000097	-0.000340	 0.031662
 0.7750	 	 	 	 	-0.084628
 0.8000	-0.000441	 0.006242	-0.000034	 0.001903	-0.190855
 0.8250	 	 	 	 	-0.250041
 0.8500	-0.001684	-0.044011	 0.000022	 0.000429	-0.206895
 0.8750	 	 	 	 	-0.111494
 0.9000	-0.001809	 0.054880	 0.000036	 0.000174	-0.062929
 0.9250	 	 	 	 	-0.054038
 0.9500	 0.002292	 0.065629	 0.000004	-0.001611	-0.004629
 0.9750	 	 	 	 	 0.344475
 1.0000	-0.000495	-0.112754	-0.000146	-0.003619	 0.540893
=================================================================================
