Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 22-Sep-2020 at 12:54:06.
Created 22-Sep-2020 12:54:06.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.5000	-0.017661	-0.059768	-0.000960	-0.002099	 0.086720
 0.5250	 	 	 	 	 0.092770
 0.5500	-0.020288	-0.046949	-0.001019	-0.000289	 0.097765
 0.5750	 	 	 	 	 0.102834
 0.6000	-0.021970	-0.021165	-0.000965	 0.002495	 0.106601
 0.6250	 	 	 	 	 0.110023
 0.6500	-0.021940	 0.022626	-0.000748	 0.006302	 0.111957
 0.6750	 	 	 	 	 0.112757
 0.7000	-0.019124	 0.091887	-0.000318	 0.011099	 0.112041
 0.7250	 	 	 	 	 0.109416
 0.7500	-0.012531	 0.175639	 0.000347	 0.015824	 0.105478
 0.7750	 	 	 	 	 0.098793
 0.8000	-0.001783	 0.260346	 0.001223	 0.019752	 0.091383
 0.8250	 	 	 	 	 0.079988
 0.8500	 0.013014	 0.339634	 0.002268	 0.022692	 0.069006
 0.8750	 	 	 	 	 0.056729
 0.9000	 0.031267	 0.400720	 0.003423	 0.024310	 0.046442
 0.9250	 	 	 	 	 0.034895
 0.9500	 0.051853	 0.435454	 0.004628	 0.024903	 0.027198
 0.9750	 	 	 	 	 0.014140
 1.0000	 0.073706	 0.451887	 0.005850	 0.025092	 0.009458


 -------- Mode No.   4  (freq = 0.39662E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000283
 0.0500	 0.000039	 0.001531	 0.000274	 0.010880	-0.000565
 0.0750	 	 	 	 	-0.001097
 0.1000	 0.000199	 0.004868	 0.001152	 0.024545	-0.001627
 0.1250	 	 	 	 	-0.002719
 0.1500	 0.000550	 0.009240	 0.002818	 0.042783	-0.003796
 0.1750	 	 	 	 	-0.005231
 0.2000	 0.001106	 0.013182	 0.005258	 0.056276	-0.006612
 0.2250	 	 	 	 	-0.012529
 0.2500	 0.001843	 0.016462	 0.008292	 0.066835	-0.018098
 0.2750	 	 	 	 	-0.028196
 0.3000	 0.002667	 0.016732	 0.011691	 0.071166	-0.037364
 0.3250	 	 	 	 	-0.046378
 0.3500	 0.003417	 0.013499	 0.015122	 0.068262	-0.054111
 0.3750	 	 	 	 	-0.061183
 0.4000	 0.003910	 0.006323	 0.018229	 0.058053	-0.066688
 0.4250	 	 	 	 	-0.071043
 0.4500	 0.003931	-0.005605	 0.020652	 0.040453	-0.073761
 0.4750	 	 	 	 	-0.075097
 0.5000	 0.003232	-0.022691	 0.022015	 0.014913	-0.074890
 0.5250	 	 	 	 	-0.073070
 0.5500	 0.001583	-0.043792	 0.021960	-0.017231	-0.069983
 0.5750	 	 	 	 	-0.064814
 0.6000	-0.001110	-0.064380	 0.020141	-0.056850	-0.058905
 0.6250	 	 	 	 	-0.050587
 0.6500	-0.004617	-0.075859	 0.016176	-0.104487	-0.042492
 0.6750	 	 	 	 	-0.032681
 0.7000	-0.008161	-0.064929	 0.009788	-0.155399	-0.024394
 0.7250	 	 	 	 	-0.016056
 0.7500	-0.010344	-0.021065	 0.000914	-0.205765	-0.010595
 0.7750	 	 	 	 	-0.007135
 0.8000	-0.009632	 0.050817	-0.010399	-0.254655	-0.007407
 0.8250	 	 	 	 	-0.012411
 0.8500	-0.004861	 0.141020	-0.024070	-0.301385	-0.020594
 0.8750	 	 	 	 	-0.032992
 0.9000	 0.004298	 0.226163	-0.039625	-0.332066	-0.045739
 0.9250	 	 	 	 	-0.062388
 0.9500	 0.016966	 0.282141	-0.056314	-0.348315	-0.074769
 0.9750	 	 	 	 	-0.097797
 1.0000	 0.031789	 0.311144	-0.073593	-0.355939	-0.106459


 -------- Mode No.   5  (freq = 0.43986E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000449
 0.0500	-0.000136	-0.005375	 0.000046	 0.001816	 0.000898
 0.0750	 	 	 	 	 0.001742
 0.1000	-0.000609	-0.013628	 0.000180	 0.003602	 0.002583
 0.1250	 	 	 	 	 0.004318
 0.1500	-0.001551	-0.024366	 0.000416	 0.005972	 0.006031
 0.1750	 	 	 	 	 0.008313
 0.2000	-0.002965	-0.032834	 0.000746	 0.007455	 0.010515
 0.2250	 	 	 	 	 0.019965
 0.2500	-0.004755	-0.039463	 0.001137	 0.008515	 0.028863
 0.2750	 	 	 	 	 0.044962
 0.3000	-0.006730	-0.040330	 0.001571	 0.009153	 0.059506
 0.3250	 	 	 	 	 0.073678
 0.3500	-0.008575	-0.034237	 0.002023	 0.009244	 0.085641
 0.3750	 	 	 	 	 0.096276
 0.4000	-0.009928	-0.020370	 0.002466	 0.008814	 0.104131
 0.4250	 	 	 	 	 0.109712
 0.4500	-0.010368	 0.002725	 0.002879	 0.007922	 0.112306
 0.4750	 	 	 	 	 0.112035
 0.5000	-0.009411	 0.036135	 0.003233	 0.006354	 0.108860
 0.5250	 	 	 	 	 0.102092
 0.5500	-0.006582	 0.078062	 0.003491	 0.003939	 0.092868
 0.5750	 	 	 	 	 0.078651
 0.6000	-0.001625	 0.121330	 0.003584	-0.000505	 0.062957
 0.6250	 	 	 	 	 0.041110
 0.6500	 0.005177	 0.151195	 0.003375	-0.008392	 0.019736
 0.6750	 	 	 	 	-0.006683
 0.7000	 0.012560	 0.142748	 0.002686	-0.020001	-0.029829
 0.7250	 	 	 	 	-0.054673
 0.7500	 0.017996	 0.072626	 0.001342	-0.034819	-0.073093
 0.7750	 	 	 	 	-0.089148
 0.8000	 0.018518	-0.053424	-0.000775	-0.051087	-0.096432
 0.8250	 	 	 	 	-0.096113
 0.8500	 0.011760	-0.217614	-0.003689	-0.066928	-0.087507
 0.8750	 	 	 	 	-0.069959
 0.9000	-0.003089	-0.376089	-0.007247	-0.077407	-0.049561
 0.9250	 	 	 	 	-0.021032
 0.9500	-0.024509	-0.481493	-0.011177	-0.082437	 0.001086
 0.9750	 	 	 	 	 0.043542
 1.0000	-0.050008	-0.536611	-0.015278	-0.084549	 0.059747


 -------- Mode No.   6  (freq = 0.76105E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000751
 0.0500	-0.000137	-0.005337	-0.000036	-0.001403	 0.001500
 0.0750	 	 	 	 	 0.002906
 0.1000	-0.000596	-0.012978	-0.000155	-0.003361	 0.004297
 0.1250	 	 	 	 	 0.007141
 0.1500	-0.001451	-0.021167	-0.000376	-0.005455	 0.009907
 0.1750	 	 	 	 	 0.013502
 0.2000	-0.002603	-0.025100	-0.000672	-0.006443	 0.016836
 0.2250	 	 	 	 	 0.030430
 0.2500	-0.003807	-0.022971	-0.000982	-0.005936	 0.042392
 0.2750	 	 	 	 	 0.062107
 0.3000	-0.004700	-0.012580	-0.001219	-0.003584	 0.077699
 0.3250	 	 	 	 	 0.090095
 0.3500	-0.004899	 0.004911	-0.001304	 0.000214	 0.097459
 0.3750	 	 	 	 	 0.100184
 0.4000	-0.004100	 0.027524	-0.001177	 0.004885	 0.097888
 0.4250	 	 	 	 	 0.090648
 0.4500	-0.002120	 0.052099	-0.000815	 0.009691	 0.079797
 0.4750	 	 	 	 	 0.064870
 0.5000	 0.000975	 0.071843	-0.000237	 0.013504	 0.048742
 0.5250	 	 	 	 	 0.029956
 0.5500	 0.004663	 0.075143	 0.000468	 0.014798	 0.013175
 0.5750	 	 	 	 	-0.003972
 0.6000	 0.007785	 0.048688	 0.001145	 0.012420	-0.015288
